model,term,coef,odds_ratio,or_ci_low,or_ci_high,p_value
row_channel,const,0.013378,1.013468,0.904863,1.135109,0.817063
row_channel,channel_display_ads,-0.060525,0.94127,0.801623,1.105245,0.460098
row_channel,channel_email,0.013481,1.013572,0.861022,1.193151,0.871317
row_channel,channel_referral,-0.071217,0.931259,0.792763,1.093951,0.385994
row_channel,channel_search_ads,-0.062339,0.939564,0.798936,1.104946,0.451102
row_channel,channel_social_media,-0.032039,0.968469,0.824549,1.13751,0.696301
user_any_channel,const,-0.947566,0.387683,0.280817,0.535219,0.0
user_any_channel,channel_direct_traffic,1.08817,2.968836,2.23662,3.940762,0.0
user_any_channel,channel_display_ads,1.449825,4.26237,3.161941,5.745773,0.0
user_any_channel,channel_email,1.265214,3.54385,2.647596,4.743501,0.0
user_any_channel,channel_referral,1.069075,2.912685,2.196304,3.862731,0.0
user_any_channel,channel_search_ads,0.877262,2.404309,1.815601,3.183904,0.0
user_any_channel,channel_social_media,1.130385,3.096848,2.333567,4.109789,0.0
journey_length_only,const,-0.807573,0.445939,0.332,0.59898,0.0
journey_length_only,n_touchpoints,0.874234,2.397039,2.135851,2.690167,0.0
channel_plus_length,const,-0.97422,0.377487,0.27253,0.522864,0.0
channel_plus_length,channel_direct_traffic,0.304671,1.356179,0.932562,1.972225,0.110812
channel_plus_length,channel_display_ads,0.646439,1.908732,1.292735,2.818256,0.001148
channel_plus_length,channel_email,0.437459,1.548767,1.048583,2.287545,0.027923
channel_plus_length,channel_referral,0.294998,1.343124,0.925462,1.949278,0.120581
channel_plus_length,channel_search_ads,0.095664,1.100389,0.757117,1.599299,0.616046
channel_plus_length,channel_social_media,0.353122,1.423504,0.979336,2.06912,0.064236
channel_plus_length,n_touchpoints,0.647849,1.911425,1.543151,2.367587,0.0
